errandIdx,requesterIdx,executorIdx,errandTitle,errandContent,startStationIdx,arrivalStationIdx,deadlineDt,stationDistance,itemPrice,errandPrice,errandStatus
9,2,,아이폰 줄서주세요,아이폰 8 신제품 1등으로 사게 줄서주세요,강남,노원,2017-06-21 17:20:00.000,24000,990000,50000,매칭대기중
38,4,,족발사다주세요,공덕에 있는 한양족발집에서 한방족발 대자 하나 사다주세요,공덕,여의나루,2017-06-21 15:20:00.000,20000,30000,5000,매칭대기중
45,3,,열대어 사다주세요,니모 열대어(노란색) 10마리 사다주세요,과천,여의나루,2017-06-21 18:20:00.000,20000,50000,10000,매칭대기중
33,4,,책 사다주세요,광화문 교보문고에서 문재인 대통령의 '운명' 사다주세요,광화문,홍제,2017-06-21 19:00:00.000,20000,20000,3000,매칭대기중
10,3,,매운탕사다주세요,김포에 있는 민물매운탕 3인분사다주세요,귤현,부천,2017-06-21 21:25:00.000,27000,45000,10000,매칭대기중
2,2,3,단팥빵사다주세요,낙성대역 장블랑제리에서 단팥빵 10개 사다주세요,낙성대,주안,2017-06-21 18:40:00.000,27000,15000,3000,진행중
13,2,,물 사다 주세요,에비앙 물 500ml 30개 사다주세요,강남,서초,2017-06-21 17:20:00.000,5000,60000,10000,매칭대기중
20,2,1,장블랑제리 맘모스빵 사다주세요,낙성대역 장블랑제리에서 맘모스빵 2개 사다주세요.,낙성대,군자,2017-06-20 10:40:00.000,27000,10000,3000,취소완료
44,2,,책 제본 해주세요,교육학 책 챕터별로 제본해주세요,교대,노량진,2017-06-21 17:20:00.000,35000,15000,3000,매칭대기중
12,1,4,분리수거 해주세요,오늘 분리수거 날인데 부탁드려요,낙성대,낙성대,2017-06-21 17:20:00.000,0,,3000,진행중
18,3,2,휠체어 들어주세요,아파트 엘리베이터 고장입니다. 8층 집까지 휠체어 같이 들어주세요,중계,중계,2017-06-21 19:20:00.000,,,10000,진행중
5,1,,기저귀 사다주세요,집앞 마트에서 하기스 기저귀 하나만 사다주세요,태릉입구,태릉입구,2017-06-21 18:40:00.000,0,34000,3000,매칭대기중
8,4,1,핫도그 세개 사다주세요,집앞 명랑핫도그에서 오리지널로 10개 사다주세요,안암,안암,2017-06-21 19:20:00.000,0,10000,3000,진행중
26,4,,분리수거 해주세요,내일 분리수거 날이에요. 집을 비우지못해 요청합니다.,상봉,상봉,2017-06-21 18:40:00.000,0,,3000,매칭대기중
17,2,3,회 사다주세요,노량진 형제수산에서 모듬회 6만원짜리 사다주세요,노량진,운정,2017-06-20 10:40:00.000,35000,60000,8000,취소완료
34,4,1,회 사다주세요,노량진 형제수산에서 모듬회 6만원짜리 사다주세요,노량진,여의나루,2017-06-19 15:40:00.000,35000,60000,5000,취소완료
14,3,2,초밥 사다주세요,일산 이마트트레이더스에서 연어초밥 사다주세요,대화,철산,2017-06-19 15:40:00.000,40000,15000,5000,취소완료
42,4,,꼬북칩 과자 사다주세요,꼬북칩 과자 먹고싶은데 일산이마트트레이더스에 있대요. 한박스 사다주세요,대화,송내,2017-06-19 15:00:00.000,40000,24500,5000,취소완료
